"SN","TESTER","PKG_TYPE","Body_Size","소켓수량","커버수량","위치","제작Engr","SOCKET_NO","Pogo_Pin","Comment"
"1","3380D","64_LQFP","10x10","2","2","ABOV","김희국","64P-0.5OS-SAR1","028S-038AMR-FA",""
"2","3380D","48_LQFP","7x7-0.5","2","2","ABOV","김희국","48QP-0.50S-SAR1","028S-038AMR-FA",""
"3","3380D","32_LQFP","7x7-0.8","2","2","ABOV","김희국","32QP-0.8S-SA","028S-038AMR-FA",""
"4","3380D","100_LQFP","14x14-0.5","2","2","ABOV","김희국","100QP-0.50S-SA","028S-038AMR-FA",""
"5","3380D","120_LQFP","16x16-0.5","2","2","ABOV","김희국","120QP-0.5S-SAR1","038S-038MAR-FA",""
"6","3380D","80_LQFP","12x12-0.5","2","2","ABOV","박세영","80QP-0.50S-SA","038S-038MAR-FA",""
"7","3380D","64_LQFP","12x12-0.65","2","2","ABOV","이상칠","64QP-0.65S-SA","038S-038MAR-FA",""
"8","3380D","100_MQFP","14x20-0.65","2","2","ABOV","이상칠","100QP-0.65S-SA","038S-038MAR-FA",""
"9","3380D","64_LQFP ","14x14-0.8","2","2","ABOV","지강찬","64QP-0.80S-SA","038S-038MAR-FA",""
"10","3380D","44_LQFP","10x10-0.8","2","2","ABOV","지강찬","44QP-0.80S-SA","038S-038MAR-FA",""
"11","3380D","48_QFN","7x7-0.75T","2","2","ABOV","GMTEST","","",""
"1","3380D","32_LQFP","7x7-0.8","4","4","ABOV","FBHS","","",""
"2","3380D","64_LQFP","10x10-0.5","4","4","ABOV","FBHS","","",""
"3","3380D","44_LQFP","10x10-0.8","4","4","ABOV","FBHS","","",""
"4","3380D","32_QFN","5x5-0.75T-0.5","8","8","ABOV","FBHS","","",""
"5","3380D","80_LQFP","12x12-0.5","2","2","ABOV","FBHS","","",""
"6","3380D","20_QFN","4x4-0.75T-0.5","4","4","ABOV","FBHS","","",""
"7","3380D","24_QFN","4x4-0.75T-0.5","4","4","ABOV","FBHS","","",""
"8","3380D","","","","","","","","",""
"1","T3347A","32_LQFP","7X7-0.8","2","4","ABOV","ABOV","CS-LQFP32-7X7-0.8-P1","","7X7 32,48LQFP COK 호환 사용가능"
"2","T3347A","48_LQFP","7x7-0.5","4","4","ABOV","ABOV","CS-LQFP48-7X7-0.5-P1","","7X7 32,48LQFP COK 호환 사용가능"
"3","T3347A","64_TQFP","7X7-0.4","2","1","ABOV","ABOV","ISC: 64TQFP-0.4P","",""
"4","T3347A","44_MQFP","10X10-0.8","5","1","ABOV","ABOV","ISC: 44MQFP-0.6P","",""
"5","T3347A","44_LQFP","10X10-0.8","1","3","ABOV","ABOV","CS-LQFP44-10X10-0.8-P1","",""
"6","T3347A","64_LQFP","10X10-0.5","2","2","ABOV","ABOV","CS-LQFP64-10X10-0.5-P1","",""
"7","T3347A","80_LQFP","12X12-0.5","2","2","ABOV","ABOV","CS-LQFP80-12X12-0.5-P1","",""
"8","T3347A","64_LQFP","12X12-0.65","6","1","ABOV","ABOV","CS-LQFP64-12X12-0.65-P1","",""
"9","T3347A","52_LQFP","14X14-1.0","4","","ABOV","ABOV","CS-LQFP52-14X14-1.0-P1-N17-630","",""
"10","T3347A","64_LQFP","14X14-0.8","6","2","ABOV","ABOV","CS-LQFP64-14X14-0.8-P1","",""
"11","T3347A","100_LQFP","14X14","","","ABOV","ABOV","","","* 14X14 64LQFP 호환 사용"
"12","T3347A","80_LQFP","14X14","","","ABOV","ABOV","","","* 14X14 64LQFP 호환 사용"
"13","T3347A","64_MQFP","14X20","","","ABOV","ABOV","","","14X20 64,80MQ 호환, 14X20 100MQ는 Blade 교체 필요"
"14","T3347A","80_MQFP","14X20","","","ABOV","ABOV","","",""
"15","T3347A","100_MQFP","14X20","","","ABOV","ABOV","","",""
"16","T3347A","20_QFN","4X4-0.5","8","1","ABOV","ABOV","CS-QFN20-4X4-0.5-P1","",""
"17","T3347A","32_QFN","5X5-0.5","3","4","ABOV","ABOV","CS-QFN32-5X5-","",""
"18","T3347A","16_QFN","3X3-0.5","4","","ABOV","ABOV","BC-QFN-3X3-0.5-P1","",""
"19","T3347A","48_QFN","7X7-0.5","","1","ABOV","ABOV","BC-QFN-7X7-0.5-P1","",""
"20","T3347A","64_QFN","8X8-0.4","4","4","ABOV","ABOV","BC-QFN64-8X8-0.4-P1-#004","",""
"21","T3347A","24_QFN","4X4","1","1","ABOV","ABOV","CS-QFN24-4x4-0.5-P1","",""
"22","T3347A","40_QFN","5X5-0.4","4","2","ABOV","ABOV","BC-QFN40-5X5-0.4-P1","",""
"23","T3347A","68_QFN","8x8-0.4","5","5","ABOV","ABOV","BC-68QFN-8X8-0.4-P1-N19-262","",""
"24","T3347A","20_QFN","3x3-0.4","1","","ABOV","ABOV","BC-QFN20-3X3-0.4-P1","",""
"25","T3347A","44_QFN","10X10","","","ABOV","ABOV","","",""
"26","T3347A","28_QFN","5X5","","","ABOV","ABOV","","",""
"27","T3347A","A31G112KN","9X9-0.5","","1","ABOV","ABOV","BC-QFN64-9X9-0.5-P1","",""
"28","T3347A","48_QFN","6X6-0.5","","2","ABOV","ABOV","CSRH-QFN48-6X6-0.5-P1","","Winpac 에서 1set 이동 필요"
"29","T3347A","32_QFN","5X5-0.5","","1","ABOV","ABOV","CS-QFN32-5X5-0.5-P1","","DCT_REV00"
"1","3360D","32_SOP","300mil","4","4","ABOV","ABOV","","",""
"2","3360D","28_SOP","300lin","7","12","ABOV","ABOV","","",""
"3","3360D","28_TSSOP","173mil","4","","ABOV","ABOV","","",""
"4","3360D","24_SSOP","209/236(?)","2","","ABOV","ABOV","","",""
"5","3360D","28_SSOP","","2","","ABOV","ABOV","","",""
"6","3360D","16_SOP","150mil","4","","ABOV","ABOV","","",""
"7","3360D","10_SSOP-EP","150mil","3","","ABOV","ABOV","","",""
"8","3360D","20_QFN 0.5","","1","","ABOV","ABOV","","",""
"9","3360D","10_DFN","3x3","1","","ABOV","ABOV","","",""
"10","3360D","20_QFN","4x4x0.75T-0.5","1","","ABOV","ABOV","","",""
"11","3360D","20_QFN","3x3x0.75T-0.4","1","","ABOV","ABOV","","",""
"12","3360D","16_QFN","","3","","ABOV","ABOV","","",""
"13","3360D","32_QFN","","3","","ABOV","ABOV","","",""
"14","3360D","16_PIN","-","","","ABOV","ABOV","","","MANUAL(TOP+BOTTOM)"
"15","3360D","32_PIN","-","","","ABOV","ABOV","","","MANUAL(TOP+BOTTOM)"
"16","3360D","32_PIN","-","","8","ABOV","ABOV","","","MANUAL(TOP+BOTTOM)"
"17","3360D","REVERSE","","","4","ABOV","ABOV","","",""
"18","3360D","20_QFN","","4","4","ABOV","ABOV","","",""
"67","3380D","48_LQFP","7x7","2","2","","FBHS","","",""
